month,year,total_demand(mw),max_generation(mw),mean_air_temperature(C),average_wind_speed(m/s),average_daily_sun_hours,average_monthly_rainfall(mm)
January,2018,247100,241562,5.3,,,
January,2019,253200,250919,4.2,,,
January,2020,230940,268275,6.7,,,
January,2021,266350,279193,3.3,7.5,1.4,217.0
January,2022,277047,284597,5.2,9.1,2.6,109.9
January,2023,291378,297850,5.3,10.1,2.4,166.5
February,2018,233850,229720,3.1,,,
February,2019,247100,241935,6.9,,,
February,2020,239046,263690,6.4,,,
February,2021,250112,261032,5.1,11.4,2.6,259.8
February,2022,259281,259345,6.8,13.3,3.1,221.9
February,2023,284943,284540,6.6,9.0,3.2,81.3
March,2018,294150,283251,4.9,,,
March,2019,306600,295249,7.9,,,
March,2020,277658,306236,6.8,,,
March,2021,328724,345022,7.3,8.9,3.8,138.3
March,2022,358929,337300,7.7,7.8,5.7,47.9
March,2023,349013,360085,7.0,8.6,2.5,128.9
April,2018,291550,267910,9.5,,,
April,2019,322300,309731,9.1,,,
April,2020,252026,266908,10.3,,,
April,2021,360937,380301,6.6,6.7,7.6,24.1
April,2022,392683,404593,9.1,7.4,6.4,59.4
April,2023,374216,384953,8.6,7.7,5.5,59.1
May,2018,291700,278545,12.9,,,
May,2019,367725,354010,11.2,,,
May,2020,282026,295906,12.6,,,
May,2021,344269,348446,10.1,7.6,5.6,60.8
May,2022,368560,380590,13.0,8.6,5.8,105.9
June,2018,310100,296383,15.9,,,
June,2019,348100,335243,14.3,,,
June,2020,312769,327758,15.1,,,
June,2021,343081,359165,15.4,7.0,6.3,98.9
June,2022,376239,377120,15.1,8.1,7.7,78.7
July,2018,342300,330274,18.7,,,
July,2019,370200,353201,17.6,,,
July,2020,331932,344412,15.7,,,
July,2021,344358,361345,17.6,5.6,6.1,144.7
July,2022,394129,389822,18.2,7.4,7.2,68.6
August,2018,334600,319049,16.7,,,
August,2019,363250,356683,17.1,,,
August,2020,342765,347249,17.2,,,
August,2021,367456,386991,16.1,6.7,4.4,116.5
August,2022,382321,405042,18.3,6.6,7.9,77.6
September,2018,296200,285952,13.8,,,
September,2019,348500,314726,14.3,,,
September,2020,340803,343085,14.0,,,
September,2021,367090,371887,15.9,6.5,4.6,129.7
September,2022,366907,391711,14.5,7.2,4.4,105.2
October,2018,330300,309973,10.7,,,
October,2019,310600,297528,10.1,,,
October,2020,347047,353033,10.5,,,
October,2021,360183,363804,12.1,8.9,3.0,203.2
October,2022,357597,334181,12.7,9.4,4.2,204.7
November,2018,255300,242474,8.2,,,
November,2019,279550,269156,6.5,,,
November,2020,268150,285036,8.7,,,
November,2021,277496,287389,7.8,8.7,2.4,185.5
November,2022,306834,317274,9.1,9.6,2.0,176.0
December,2018,253200,249004,6.8,,,
December,2019,245200,243515,6.0,,,
December,2020,254533,269477,5.3,,,
December,2021,268575,262647,6.4,8.3,1.0,156.7
December,2022,286070,297129,4.0,8.1,1.9,112.2
